optionid;date;cp_flag;style;exdate;last_date;open_interest;best_bid;best_offer;volume;strike_price;Mid;Strike
130244655;13.11.2019;C;E;20.12.2019;13.11.2019;16116;52,2;52,7;1253;3080000;52,45;3080
130244656;13.11.2019;C;E;20.12.2019;13.11.2019;8248;48,9;49,4;3559;3085000;49,15;3085
130244657;13.11.2019;C;E;20.12.2019;13.11.2019;13790;45,7;46,2;9863;3090000;45,95;3090
130244658;13.11.2019;C;E;20.12.2019;13.11.2019;5452;42,6;43,1;10566;3095000;42,85;3095
114281426;13.11.2019;C;E;20.12.2019;13.11.2019;67943;39,6;40,1;5390;3100000;39,85;3100
130244659;13.11.2019;C;E;20.12.2019;13.11.2019;1518;36,7;37,2;122;3105000;36,95;3105
130244660;13.11.2019;C;E;20.12.2019;13.11.2019;1138;34;34,4;18;3110000;34,2;3110
130244661;13.11.2019;C;E;20.12.2019;13.11.2019;7163;31,3;31,8;12;3115000;31,55;3115
130244662;13.11.2019;C;E;20.12.2019;13.11.2019;6607;28,8;29,2;12;3120000;29;3120
118940212;13.11.2019;C;E;20.12.2019;13.11.2019;37621;26,3;26,8;854;3125000;26,55;3125
130244663;13.11.2019;C;E;20.12.2019;13.11.2019;1323;24,1;24,5;15;3130000;24,3;3130
130244664;13.11.2019;C;E;20.12.2019;13.11.2019;1769;21,9;22,3;13;3135000;22,1;3135
130244665;13.11.2019;C;E;20.12.2019;13.11.2019;9247;19,9;20,3;1427;3140000;20,1;3140
130364018;13.11.2019;C;E;20.12.2019;13.11.2019;1897;18;18,4;6;3145000;18,2;3145
118728582;13.11.2019;C;E;20.12.2019;13.11.2019;51575;16,3;16,6;2647;3150000;16,45;3150
130424509;13.11.2019;C;E;20.12.2019;13.11.2019;618;14,6;15;9;3155000;14,8;3155
130244666;13.11.2019;C;E;20.12.2019;13.11.2019;7029;13,1;13,5;30;3160000;13,3;3160
130434399;13.11.2019;C;E;20.12.2019;13.11.2019;499;11,8;12,1;173;3165000;11,95;3165
130244667;13.11.2019;C;E;20.12.2019;13.11.2019;1714;10,5;10,8;29;3170000;10,65;3170
118940213;13.11.2019;C;E;20.12.2019;13.11.2019;32691;9,4;9,7;1984;3175000;9,55;3175
